yearM,USDKRW_M
1990,683.43
1990.08333333333,689.87
1990.16666666667,697.78
1990.25,706.03
1990.33333333333,709.26
1990.41666666667,715.33
1990.5,715.94
1990.58333333333,715.54
1990.66666666667,714.96
1990.75,715
1990.83333333333,714.32
1990.91666666667,715.73
1991,718.14
1991.08333333333,721.61
1991.16666666667,725.11
1991.25,725.48
1991.33333333333,725.13
1991.41666666667,725.37
1991.5,728.96
1991.58333333333,731.12
1991.66666666667,739.74
1991.75,748.96
1991.83333333333,753.05
1991.91666666667,757.28
1992,762.66
1992.08333333333,765.74
1992.16666666667,771.19
1992.25,778.28
1992.33333333333,782.78
1992.41666666667,789.07
1992.5,787.15
1992.58333333333,789.32
1992.66666666667,785.55
1992.75,783.65
1992.83333333333,784.04
1992.91666666667,788.62
1993,791.99
1993.08333333333,796.45
1993.16666666667,793.25
1993.25,795.79
1993.33333333333,799.99
1993.41666666667,802.68
1993.5,806.2
1993.58333333333,808.81
1993.66666666667,808.57
1993.75,810.21
1993.83333333333,807.12
1993.91666666667,809.4
1994,810.48
1994.08333333333,809.23
1994.16666666667,807.54
1994.25,808.56
1994.33333333333,806.55
1994.41666666667,806.64
1994.5,805.12
1994.58333333333,803.46
1994.66666666667,800.73
1994.75,798.76
1994.83333333333,796.33
1994.91666666667,791.86
1995,790.48
1995.08333333333,790.73
1995.16666666667,778.69
1995.25,767.5
1995.33333333333,761.4
1995.41666666667,761.04
1995.5,757.01
1995.58333333333,767.96
1995.66666666667,772.35
1995.75,767.4
1995.83333333333,769.41
1995.91666666667,771.08
1996,787.27
1996.08333333333,780.28
1996.16666666667,781.25
1996.25,780.43
1996.33333333333,780.16
1996.41666666667,797.96
1996.5,812.76
1996.58333333333,816.81
1996.66666666667,821.76
1996.75,827.61
1996.83333333333,828.18
1996.91666666667,839.02
1997,849.88
1997.08333333333,866.85
1997.16666666667,879.41
1997.25,893.56
1997.33333333333,892.05
1997.41666666667,889.49
1997.5,890.5
1997.58333333333,895.9
1997.66666666667,909.53
1997.75,921.85
1997.83333333333,1025.58
1997.91666666667,1484.08
1998,1706.8
1998.08333333333,1623.06
1998.16666666667,1505.28
1998.25,1391.97
1998.33333333333,1394.62
1998.41666666667,1397.18
1998.5,1300.77
1998.58333333333,1303.22
1998.66666666667,1370.8
1998.75,1336.72
1998.83333333333,1294.13
1998.91666666667,1213.65
1999,1176.94
1999.08333333333,1186.81
1999.16666666667,1229.16
1999.25,1208.94
1999.33333333333,1197
1999.41666666667,1169.63
1999.5,1186.04
1999.58333333333,1199.79
1999.66666666667,1196.97
1999.75,1206.38
1999.83333333333,1177.22
1999.91666666667,1138.39
2000,1131.07
2000.08333333333,1128.8
2000.16666666667,1117.19
2000.25,1109.76
2000.33333333333,1120.01
2000.41666666667,1118.73
2000.5,1114.86
2000.58333333333,1114.57
2000.66666666667,1116.5
2000.75,1127.31
2000.83333333333,1151.15
2000.91666666667,1214.4
2001,1272.82
2001.08333333333,1252.44
2001.16666666667,1288.43
2001.25,1325.55
2001.33333333333,1298.46
2001.41666666667,1293.83
2001.5,1302.6
2001.58333333333,1285.39
2001.66666666667,1293.7
2001.75,1302.6
2001.83333333333,1284
2001.91666666667,1289.66
2002,1317.6
2002.08333333333,1318.72
2002.16666666667,1322.51
2002.25,1318.93
2002.33333333333,1266.06
2002.41666666667,1223.47
2002.5,1185.12
2002.58333333333,1196.37
2002.66666666667,1208.5
2002.75,1241.13
2002.83333333333,1211.91
2002.91666666667,1208.91
2003,1179.27
2003.08333333333,1191.19
2003.16666666667,1232.4
2003.25,1232.82
2003.33333333333,1199.78
2003.41666666667,1194.02
2003.5,1181.59
2003.58333333333,1178.42
2003.66666666667,1166.17
2003.75,1166.27
2003.83333333333,1184.87
2003.91666666667,1192.95
2004,1184.32
2004.08333333333,1166.69
2004.16666666667,1166.34
2004.25,1150.85
2004.33333333333,1177.37
2004.41666666667,1158.65
2004.5,1157.66
2004.58333333333,1159
2004.66666666667,1147.97
2004.75,1144.04
2004.83333333333,1091.19
2004.91666666667,1050.91
2005,1038.23
2005.08333333333,1022.43
2005.16666666667,1007.49
2005.25,1010.94
2005.33333333333,1002.21
2005.41666666667,1010.87
2005.5,1037.44
2005.58333333333,1021.17
2005.66666666667,1029.33
2005.75,1046.25
2005.83333333333,1041.43
2005.91666666667,1024.15
2006,987.03
2006.08333333333,970.22
2006.16666666667,975.09
2006.25,954.44
2006.33333333333,941.4
2006.41666666667,955.16
2006.5,950.15
2006.58333333333,960.72
2006.66666666667,953.68
2006.75,954.23
2006.83333333333,936.22
2006.91666666667,925.75
2007,936.36
2007.08333333333,937.02
2007.16666666667,943.26
2007.25,931.5
2007.33333333333,927.91
2007.41666666667,928.32
2007.5,918.85
2007.58333333333,933.8
2007.66666666667,932.41
2007.75,915.86
2007.83333333333,916.98
2007.91666666667,930.24
2008,942.39
2008.08333333333,944.69
2008.16666666667,979.86
2008.25,986.66
2008.33333333333,1036.73
2008.41666666667,1029.27
2008.5,1019.12
2008.58333333333,1041.54
2008.66666666667,1130.4
2008.75,1326.92
2008.83333333333,1390.09
2008.91666666667,1373.84
2009,1346.1
2009.08333333333,1429.46
2009.16666666667,1461.98
2009.25,1341.9
2009.33333333333,1258.71
2009.41666666667,1261.35
2009.5,1263.97
2009.58333333333,1238.4
2009.66666666667,1219.15
2009.75,1175.25
2009.83333333333,1164.23
2009.91666666667,1166.45
2010,1138.82
2010.08333333333,1157.08
2010.16666666667,1137.64
2010.25,1117.11
2010.33333333333,1163.11
2010.41666666667,1212.33
2010.5,1207.3
2010.58333333333,1179.92
2010.66666666667,1167.01
2010.75,1123.45
2010.83333333333,1126.2
2010.91666666667,1147.55
2011,1120.07
2011.08333333333,1118.14
2011.16666666667,1122.45
2011.25,1086.84
2011.33333333333,1083.54
2011.41666666667,1081.27
2011.5,1059.5
2011.58333333333,1073.17
2011.66666666667,1118.61
2011.75,1155.45
2011.83333333333,1132.31
2011.91666666667,1147.45
2012,1145.85
2012.08333333333,1123.35
2012.16666666667,1125.9
2012.25,1135.55
2012.33333333333,1154.27
2012.41666666667,1165.51
2012.5,1143.36
2012.58333333333,1131.69
2012.66666666667,1124.78
2012.75,1106.93
2012.83333333333,1087.52
2012.91666666667,1076.97
2013,1065.35
2013.08333333333,1086.68
2013.16666666667,1102.2
2013.25,1121.83
2013.33333333333,1110.67
2013.41666666667,1135.21
2013.5,1127.23
2013.58333333333,1116.98
2013.66666666667,1087.35
2013.75,1066.8
2013.83333333333,1062.82
2013.91666666667,1056.67
2014,1064.75
2014.08333333333,1071.3
2014.16666666667,1070.89
2014.25,1044.55
2014.33333333333,1024.99
2014.41666666667,1019.36
2014.5,1019.93
2014.58333333333,1025.36
2014.66666666667,1033.24
2014.75,1060.28
2014.83333333333,1095.1
2014.91666666667,1104.33
2015,1088.86
2015.08333333333,1098.4
2015.16666666667,1112.57
2015.25,1088.66
2015.33333333333,1091.27
2015.41666666667,1112.2
2015.5,1143.22
2015.58333333333,1179.1
2015.66666666667,1184.76
2015.75,1148.18
2015.83333333333,1151.97
2015.91666666667,1172.24
2016,1201.67
2016.08333333333,1217.35
2016.16666666667,1188.21
2016.25,1147.51
2016.33333333333,1171.51
2016.41666666667,1170.5
2016.5,1144.09
2016.58333333333,1111.68
2016.66666666667,1107.49
2016.75,1125.28
2016.83333333333,1161.64
2016.91666666667,1182.28
2017,1185.1
2017.08333333333,1144.92
2017.16666666667,1134.77
2017.25,1132.73
2017.33333333333,1125.28
2017.41666666667,1130.04
2017.5,1134.4
2017.58333333333,1130.79
2017.66666666667,1131.59
2017.75,1131.57
2017.83333333333,1105.04
2017.91666666667,1085.78
2018,1066.7
2018.08333333333,1079.58
2018.16666666667,1071.89
2018.25,1067.76
2018.33333333333,1076.39
2018.41666666667,1092.8
2018.5,1122.8
2018.58333333333,1121.15
2018.66666666667,1120.6
2018.75,1130.81
2018.83333333333,1128.58
2018.91666666667,1122.9
2019,1122
2019.08333333333,1122.45
2019.16666666667,1130.72
2019.25,1140.95
2019.33333333333,1183.29
2019.41666666667,1175.62
2019.5,1175.31
2019.58333333333,1208.98
2019.66666666667,1197.55
2019.75,1184.13
2019.83333333333,1167.45
2019.91666666667,1175.84
2020,1164.28
2020.08333333333,1193.79
2020.16666666667,1220.09
2020.25,1225.23
2020.33333333333,1228.67
2020.41666666667,1210.01
2020.5,1198.9
2020.58333333333,1186.85
2020.66666666667,1178.8
2020.75,1144.68
2020.83333333333,1116.76
2020.91666666667,1095.13
2021,1097.49
2021.08333333333,1111.72
2021.16666666667,1131.02
2021.25,1119.4
2021.33333333333,1123.28
2021.41666666667,1121.3
2021.5,1143.98
2021.58333333333,1160.34
2021.66666666667,1169.54
2021.75,1182.82
2021.83333333333,1182.91
2021.91666666667,1183.7
2022,1194.01
2022.08333333333,1198.34
2022.16666666667,1221.03
2022.25,1232.34
2022.33333333333,1269.88
2022.41666666667,1277.35
2022.5,1307.4
2022.58333333333,1318.44
2022.66666666667,1391.59
2022.75,1426.66
2022.83333333333,1364.1
2022.91666666667,1296.22
2023,1247.25
2023.08333333333,1270.74
2023.16666666667,1305.73
2023.25,1320.01
2023.33333333333,1328.21
2023.41666666667,1296.71
2023.5,1286.3
2023.58333333333,1318.47
2023.66666666667,1329.47
2023.75,1350.69
2023.83333333333,1310.39
2023.91666666667,1303.98
2024,1323.57
2024.08333333333,1331.74
2024.16666666667,NA
